339,"Akcakale","Turkey",36.710800,38.947800,123721,117.4000000000,0.853
340,"Bijie","China",27.284000,105.292000,6686100,148.8000000000,0.797
341,"Balombo","Angola",-12.350000,14.766700,108965,27.2000000000,0.616
342,"Akhisar","Turkey",38.923900,27.840000,177419,108.6000000000,0.853
343,"Akhmim","Egypt",26.566700,31.750000,482666,104.0000000000,0.754
344,"Anderlecht","Belgium",50.833300,4.333300,120887,7074.8000000000,0.951
345,"Bijnor","India",29.370000,78.130000,115381,423.8000000000,0.685
346,"Balsas","Brazil",-7.532500,-46.035600,107767,25.1000000000,0.786
347,"Bikaner","India",28.016700,73.311900,529007,423.8000000000,0.685
348,"Baltimore","United States of America",39.305100,-76.614400,2189589,35.5000000000,0.938
349,"Akishima","Japan",35.705700,139.353500,112110,333.5000000000,0.925
350,"Bila Tserkva","Ukraine",49.798900,30.115300,207273,72.0000000000,0.779
351,"Balurghat","India",25.220000,88.760000,153279,423.8000000000,0.685
352,"Bilaspur","India",22.090000,82.150000,1625502,423.8000000000,0.685
353,"Akita","Japan",39.720000,140.102600,302984,333.5000000000,0.925
354,"Bilbao","Spain",43.256900,-2.923600,775000,8320.3000000000,0.918
355,"Akola","India",20.700000,77.000000,425817,423.8000000000,0.685
356,"Bilbays","Egypt",30.416700,31.566700,141285,104.0000000000,0.754
357,"Akron","United States of America",41.079800,-81.521900,538659,35.5000000000,0.938
358,"Billings","United States of America",45.789100,-108.552600,133173,0.3000000000,0.938
359,"Bam","Iran",29.099400,58.343600,127396,51.6000000000,0.799
360,"Aksaray","Turkey",38.374200,34.028900,247147,108.5000000000,0.853
361,"Bim Son","Vietnam",20.078100,105.860300,100820,296.4000000000,0.766
362,"Bama","Nigeria",11.518900,13.684200,118121,228.8000000000,0.560
363,"Bima","Indonesia",-8.460000,118.726700,136492,145.1000000000,0.728
364,"Bamako","Mali",12.645800,-7.992200,4227569,16.8000000000,0.419
